
Note: Compatibility modes selected: hs a

Warning: m=xx on .subckt line will override multiplier m hierarchy!


Circuit: ** sch_path: /fs1/eecg/tcc/lizongh2/sky130_comparator/xschem/strong_arm_comp_pex_tb.sch

option SCALE: Scale is set to 1e-06 for instance and model parameters
Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
x3.a_88_1445.t3                       0.662202
x3.vin_n.t9                           0.913176
x3.di_p.t4                                 1.8
x3.a_88_1445.t2                       0.662202
x3.vin_n.t10                          0.913176
x3.di_p.t2                                 1.8
x3.vss.t2                          1.54457e-08
x3.di_p.t5                                 1.8
x3.vin_n.t11                          0.913176
x3.a_88_1445.t4                       0.662202
x3.vss.t13                          1.3742e-11
x3.clk.t18                                   0
x3.a_88_1445.t12                      0.662202
x3.vss.t11                         9.94444e-12
x3.clk.t19                                   0
x3.a_88_1445.t16                      0.662202
x3.vdd.t9                                  1.8
x3.clk.t20                                   0
x3.vout_p.t2                               1.8
x3.vdd.t8                                  1.8
x3.vdd.t7                                  1.8
x3.clk.t21                                   0
x3.vout_n.t0                               1.8
x3.vdd.t6                                  1.8
x3.a_88_1445.t23                      0.662202
x3.vin_p.t9                           0.853176
x3.di_n.t16                                1.8
x3.vss.t34                          3.6799e-08
x3.vdd.t5                                  1.8
x3.clk.t22                                   0
x3.di_n.t2                                 1.8
x3.vdd.t4                                  1.8
x3.a_88_1445.t22                      0.662202
x3.vin_p.t10                          0.853176
x3.di_n.t15                                1.8
x3.vss.t33                         1.49786e-08
x3.vdd.t3                                  1.8
x3.clk.t23                                   0
x3.di_n.t1                                 1.8
x3.vdd.t2                                  1.8
x3.a_88_1445.t21                      0.662202
x3.vin_p.t11                          0.853176
x3.di_n.t9                                 1.8
x3.vss.t32                         1.70929e-08
x3.clk.n10                                   0
x3.clk.n8                                    0
x3.clk.n6                                    0
x3.clk.n12                                   0
x3.clk.n14                                   0
x3.clk.n16                                   0
x3.clk.n4                                    0
x3.clk.n2                                    0
x3.clk.n1                                    0
x3.clk.n0                                    0
x3.clk.n19                                   0
x3.clk.n21                                   0
x3.clk.n5                                    0
x3.clk.n3                                    0
x3.clk.n18                                   0
x3.clk.n20                                   0
x3.clk.n11                                   0
x3.clk.n9                                    0
