
Note: Compatibility modes selected: hs a

Warning: m=xx on .subckt line will override multiplier m hierarchy!


Circuit: ** sch_path: /fs1/eecg/tcc/lizongh2/sky130_comparator/xschem/double_tail_comp_pex_tb.sch

option SCALE: Scale is set to 1e-06 for instance and model parameters
Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
x1.vss.n34                         8.88354e-05
x1.vss.n78                         6.20497e-06
x1.vss.n5                          6.20498e-06
x1.vss.n3                          6.07023e-06
x1.vss.n85                         5.62742e-06
x1.vss.n4                          5.36592e-06
x1.vss.n6                          5.27786e-06
x1.vss.n81                         5.36592e-06
x1.vss.n80                         5.62742e-06
x1.vss.n79                         6.07023e-06
x1.vss.n84                         3.87706e-07
x1.vss.n83                         2.19761e-07
x1.vss.n82                         2.19761e-07
x1.vss.n7                          3.87706e-07
di_p                                   1.79976
x1.di_n.n2                             1.79976
x1.di_n.n1                             1.79976
x1.di_n.n0                             1.79976
x1.di_n.n11                            1.79976
x1.di_n.n9                             1.79976
x1.di_n.n4                             1.79976
x1.di_n.n3                             1.79976
x1.di_n.n6                             1.79976
x1.di_n.n5                             1.79976
x1.di_n.n8                             1.79976
x1.di_n.n7                             1.79976
x1.di_n.n10                            1.79976
x1.di_n.n13                            1.79976
x1.di_n.n12                            1.79976
vout_p                               0.0877549
x1.vout_p.n2                          0.161241
x1.vout_p.n6                         0.0871429
x1.vout_p.n4                         0.0749863
x1.vout_p.n7                         0.0872867
x1.vout_p.n3                         0.0872867
x1.vout_p.n5                         0.0750146
x1.vout_p.n0                         0.0877549
x1.vout_p.n1                         0.0877549
x1.vout_p.n9                         0.0877549
x1.vout_p.n8                         0.0877422
x1.vin_p.n3                           0.950896
x1.vin_p.n5                           0.950896
x1.vin_p.n4                           0.950896
x1.vin_p.n1                           0.950896
x1.vin_p.n0                           0.950896
x1.vin_p.n6                           0.950896
x1.vin_p.n2                           0.950896
net10                                 0.950896
x1.vin_n.n3                           0.900896
x1.vin_n.n5                           0.900896
x1.vin_n.n4                           0.900896
x1.vin_n.n1                           0.900896
x1.vin_n.n0                           0.900896
x1.vin_n.n6                           0.900896
x1.vin_n.n2                           0.900896
vcm                                   0.900896
di_n                                   1.79976
x1.di_p.n4                             1.79976
x1.di_p.n0                             1.79976
x1.di_p.n13                            1.79976
x1.di_p.n3                             1.79976
x1.di_p.n1                             1.79976
x1.di_p.n6                             1.79976
x1.di_p.n5                             1.79976
x1.di_p.n8                             1.79976
x1.di_p.n7                             1.79976
x1.di_p.n10                            1.79976
x1.di_p.n9                             1.79976
x1.di_p.n2                             1.79976
x1.di_p.n12                            1.79976
x1.di_p.n11                            1.79976
x1.vout_n.n4                         0.0877698
x1.vout_n.n0                          0.161242
x1.vout_n.n7                         0.0871432
x1.vout_n.n5                         0.0749866
x1.vout_n.n9                          0.087287
x1.vout_n.n8                          0.087287
x1.vout_n.n6                         0.0750149
x1.vout_n.n1                         0.0877571
x1.vout_n.n2                         0.0877571
vout_n                               0.0877571
x1.vout_n.n3                         0.0877571
x1.clk_bar.n8                                0
x1.clk_bar.n6                                0
x1.clk_bar.n5                                0
x1.clk_bar.n3                                0
x1.clk_bar.n1                                0
x1.clk_bar.n0                                0
x1.clk_bar.n7                                0
x1.clk_bar.n2                                0
x1.clk_bar.n9                                0
x1.clk_bar.n4                                0
vclk_bar                                     0
x1.vdd.n18                             1.79976
x1.vdd.n59                             1.79976
x1.vdd.n20                             1.79976
x1.vdd.n53                             1.79976
x1.vdd.n81                             1.79973
x1.vdd.n105                            1.79973
x1.vdd.n66                             1.79973
x1.vdd.n116                            1.79973
x1.vdd.n103                            1.79973
x1.vdd.n34                             1.78757
x1.vdd.n97                             1.79974
x1.vdd.n96                             1.78758
net1                                   1.79976
x1.vdd.n39                              1.7876
x1.vdd.n90                             1.79974
x1.vdd.n89                             1.78758
x1.vdd.n87                             1.79973
x1.vdd.n44                             1.78757
x1.vdd.n9                              1.79976
x1.vdd.n7                              1.79976
x1.vdd.n117                            1.79973
x1.vdd.n64                             1.79973
x1.vdd.n118                            1.79973
x1.vdd.n70                             1.79973
x1.vdd.n8                              1.79976
x1.vdd.n115                            1.79973
x1.vdd.n114                            1.79973
x1.vdd.n27                             1.79973
x1.vdd.n26                             1.79973
x1.vdd.n68                             1.79973
x1.vdd.n67                             1.79973
